0.00,0,97.674419
0.00,1,95.348837
0.00,2,97.674419
0.00,3,95.348837
0.00,4,97.674419
0.00,5,95.348837
0.00,6,93.023256
0.00,7,88.372093
0.00,8,88.372093
0.00,9,93.750000
0.01,0,97.674419
0.01,1,95.348837
0.01,2,97.674419
0.01,3,95.348837
0.01,4,97.674419
0.01,5,95.348837
0.01,6,93.023256
0.01,7,88.372093
0.01,8,88.372093
0.01,9,93.750000
0.02,0,97.674419
0.02,1,95.348837
0.02,2,97.674419
0.02,3,95.348837
0.02,4,97.674419
0.02,5,95.348837
0.02,6,93.023256
0.02,7,88.372093
0.02,8,88.372093
0.02,9,93.750000
0.03,0,97.674419
0.03,1,95.348837
0.03,2,97.674419
0.03,3,95.348837
0.03,4,97.674419
0.03,5,95.348837
0.03,6,93.023256
0.03,7,88.372093
0.03,8,88.372093
0.03,9,93.750000
0.04,0,97.674419
0.04,1,95.348837
0.04,2,97.674419
0.04,3,95.348837
0.04,4,97.674419
0.04,5,95.348837
0.04,6,93.023256
0.04,7,88.372093
0.04,8,88.372093
0.04,9,93.750000
0.05,0,97.674419
0.05,1,95.348837
0.05,2,97.674419
0.05,3,95.348837
0.05,4,97.674419
0.05,5,95.348837
0.05,6,93.023256
0.05,7,88.372093
0.05,8,88.372093
0.05,9,93.750000
0.06,0,97.674419
0.06,1,95.348837
0.06,2,97.674419
0.06,3,95.348837
0.06,4,97.674419
0.06,5,95.348837
0.06,6,93.023256
0.06,7,88.372093
0.06,8,88.372093
0.06,9,93.750000
0.07,0,97.674419
0.07,1,95.348837
0.07,2,97.674419
0.07,3,95.348837
0.07,4,97.674419
0.07,5,95.348837
0.07,6,93.023256
0.07,7,88.372093
0.07,8,88.372093
0.07,9,93.750000
0.08,0,97.674419
0.08,1,95.348837
0.08,2,100.000000
0.08,3,97.674419
0.08,4,97.674419
0.08,5,95.348837
0.08,6,95.348837
0.08,7,90.697674
0.08,8,88.372093
0.08,9,93.750000
0.09,0,97.674419
0.09,1,95.348837
0.09,2,100.000000
0.09,3,95.348837
0.09,4,97.674419
0.09,5,95.348837
0.09,6,95.348837
0.09,7,90.697674
0.09,8,88.372093
0.09,9,93.750000
0.10,0,97.674419
0.10,1,95.348837
0.10,2,100.000000
0.10,3,95.348837
0.10,4,97.674419
0.10,5,95.348837
0.10,6,95.348837
0.10,7,90.697674
0.10,8,88.372093
0.10,9,93.750000
0.11,0,97.674419
0.11,1,95.348837
0.11,2,100.000000
0.11,3,95.348837
0.11,4,97.674419
0.11,5,95.348837
0.11,6,95.348837
0.11,7,90.697674
0.11,8,88.372093
0.11,9,93.750000
0.12,0,97.674419
0.12,1,95.348837
0.12,2,100.000000
0.12,3,95.348837
0.12,4,97.674419
0.12,5,95.348837
0.12,6,95.348837
0.12,7,90.697674
0.12,8,88.372093
0.12,9,93.750000
0.13,0,97.674419
0.13,1,95.348837
0.13,2,100.000000
0.13,3,95.348837
0.13,4,97.674419
0.13,5,95.348837
0.13,6,95.348837
0.13,7,90.697674
0.13,8,88.372093
0.13,9,93.750000
0.14,0,97.674419
0.14,1,95.348837
0.14,2,100.000000
0.14,3,95.348837
0.14,4,97.674419
0.14,5,95.348837
0.14,6,95.348837
0.14,7,90.697674
0.14,8,88.372093
0.14,9,93.750000
0.15,0,97.674419
0.15,1,95.348837
0.15,2,100.000000
